Title,Authors,Language,Categories,Average Rating,Maturity Rating,Publisher,Published Date,Page Count,Edition type,Translated,Top Selling
Ignited Minds,A. P. J. Abdul Kalam,Español,Business & Economics,5.0,Not mature,Cambridge University ,2007,745,Audiobook,Yes ,Europe
"The Pragmatic Programmer: 20th Anniversary Edition, 2nd Edition: Your Journey to Mastery",David Thomas,English,Business & Economics,3.0,Not mature,Penguin,2012,658,Audiobook,No,North America
Self Leadership and the One Minute Manager: Gain the Mindset and Skillset for Getting What You Need to Succeed,Ken Blanchard,English,Computers,4.5,Not mature,Penguin,2010,115,Audiobook,Yes ,Latin America
Switch: How to Change Things When Change Is Hard,Chip Heath,English,Business & Economics,3.0,Not mature,Routledge,2012,128,Audiobook,No,North America
Chicken Soup for the Kid's Soul 2: Character-Building Stories for Kids Ages 6-10,Jack Canfield,Varios,Computers,5.0,Not mature,Holt Paperbacks,2010,203,Audiobook,Yes ,Central America
The Holy Bible in Audio - King James Version: The Complete Old & New Testament,King James Version,Varios,Biography ,2.0,Not mature,Oxford University,1980,315,Audiobook,Yes ,North America
How to Be a 3% Man,Corey Wayne,Varios,Biography ,3.0,Not mature,Penguin,2002,288,Audiobook,Yes ,Europe
On Earth We're Briefly Gorgeous,Ocean Vuong,Árabe,History,1.0,Not mature,Penguin,2009,240,Audiobook,Yes ,North America
Naina (Hindi Edition),Sanjeev Paliwal,Español,Biography & Autobiography,1.0,Not mature,Penguin,1987,400,Audiobook,No,Asia
"Killing Floor: Jack Reacher, Book 1",Lee Child,Español,Psychology,3.5,Not mature,Penguin,1987,296,Audiobook,Yes ,North America
HBR’s 10 Must Reads on Emotional Intelligence,Harvard Business Review,Español,English literature,3.0,Not mature,Penguin,1987,219,Audiobook,Yes ,Oceania
The Great Influenza: The Story of the Deadliest Pandemic in History,John M. Barry,English,Science,3.5,Not mature,Penguin,1988,704,Audiobook,Yes ,North America
Rowley Jefferson's Awesome Friendly Adventure,Jeff Kinney,English,Dentistry,4.0,Not mature,Harper Collins,1988,362,Audiobook,Yes ,North America
NLP: The Essential Guide to Neuro-Linguistic Programming,Tom Dotz,Varios,Geology,3.5,Not mature,Penguin,1987,400,Audiobook,Yes ,Asia
The Ultimate Deepak Chopra Collection,Deepak Chopra MD,Varios,English literature,2.0,Not mature,Penguin,1992,374,Audiobook,No,North America
My Journey: Transforming Dreams into Actions,A. P. J. Abdul Kalam,Varios,Mathematical ,3.5,Not mature,Hachette UK,1989,406,Audiobook,Yes ,Oceania
Mahabharata: The Greatest Spiritual Epic of All Time,Krishna Dharma,Árabe,Business & Economics,4.0,Not mature,Penguin,2000,356,Audiobook,Yes ,Oceania
"Coding Languages for Absolute Beginners: 6 Books in 1: Arduino, C++, C#, Powershell, Python & SQL",Zach Webber,Español,Computers,3.5,Not mature,Scarecrow Press,1992,623,Audiobook,No ,Latin America
"Manage Your Time, Master Your Life",Robin Sharma,Español,Business & Economics,3.5,Not mature,Ballantine Books,2012,687,Audiobook,Yes,Latin America
Five Point Someone: What Not To Do at IIT,Chetan Bhagat,Español,Biography,3.5,Not mature,Greenwood ,1898,745,Audiobook,No,Latin America
Best Long Tales and Stories for Kids,div.,Varios,Mineral industries,4.0,Not mature,Routledge,2013,365,Audiobook,No,Central America
The Pleasure of Finding Things Out: The Best Short Works of Richard P. Feynman,Richard P. Feynman,Varios,Business & Economics,2.0,Not mature,Henry Holt ,2014,254,Audiobook,Yes ,North America
The Game,Neil Strauss,Varios,Students,3.5,Not mature,Author House,1981,256,Audiobook,Yes ,Latin America
The New Psycho-Cybernetics: A Mind Technology for Living Your Life Without Limits,Maxwell Maltz,Español,Technologists,4.0,Not mature,Penguin,1913,354,Audiobook,No ,North America
Surprise Surprise: Love in Times of Tinder,Shanaya Taneja,English,Technologists,3.5,Not mature,Penguin,1989,644,Audiobook,Yes,North America
"What's Your Problem: To Solve Your Toughest Problems, Change the Problems You Solve",Thomas Wedell-Wedellsborg,English,Architecture,3.5,Not mature,Oxford University,2009,271,Audiobook,No,Latin America
Blitzscaling: The Lightning-Fast Path to Building Massively Valuable Companies,Reid Hoffman,English,History,2.0,Not mature,Salem Pr Inc,1983,32,Audiobook,Yes ,Asia
The Autobiography of Benjamin Franklin (AmazonClassics Edition),Benjamin Franklin,Varios,Geology,3.5,Not mature,BookCaps ,1865,156,Audiobook,Yes ,Latin America
"Attached: Are You Anxious, Avoidant or Secure? How the Science of Adult Attachment Can Help You Find - and Keep - Love",Amir Levine,Varios,English literature,4.0,Not mature,Penguin,2016,307,Audiobook,Yes ,North America
The Lean Product Playbook: How to Innovate with Minimum Viable Products and Rapid Customer Feedback,Dan Olsen,Varios,English literature,3.5,Not mature,Penguin,2016,350,Audiobook,Yes ,Latin America
The Alexander Secret,Christopher C. Doyle,Árabe,English literature,3.5,Not mature,Penguin,2014,657,Audiobook,Yes ,Latin America
The Bengalis: A Portrait of a Community,Sudeep Chakravarti,Español,Juvenile Fiction,4.0,Not mature,Penguin,2016,780,Audiobook,Yes ,Latin America
"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain for Happiness and Success",Amy Morin,Español,Medical,2.0,Not mature,Penguin,2010,874,Audiobook,Yes ,Asia
"The House of Hades: Heroes of Olympus, Book 4",Rick Riordan,Español,Biography,3.5,Not mature,Penguin,2016,272,Audiobook,Yes ,Latin America
What to Expect When You’re Expecting,Heidi Murkoff,Varios,Business & Economics,4.0,Not mature,Penguin,2004,245,Audiobook,Yes ,Latin America
How Women Rise,Sally Helgesen,Varios,Juvenile Fiction,3.5,Not mature,Penguin,2016,523,Audiobook,Yes ,Asia
"Kaizen: The Japanese Method for Transforming Habits, One Small Step at a Time",Sarah Harvey,Varios,Juvenile Fiction,3.5,Not mature,Yearling,2010,1254,Audiobook,Yes ,Latin America
Apne Bheetar Chhupe Leader ko Kaise Jagayein [Developing the Leader Within You],John C. Maxwell,Español,Computers,5.0,Not mature,Yearling,2011,523,Audiobook,Yes ,Latin America
"Get S--t Done: The Ultimate Guide to Productivity, Procrastination, & Profitability",Jeffrey Gitomer,English,Business & Economics,3.0,Not mature,Penguin,2003,785,Audiobook,No,Asia
"Born to Run: The Hidden Tribe, the Ultra-Runners, and the Greatest Race the World Has Never Seen",Christopher McDougall,English,Computers,5.0,Not mature,Penguin,2001,125,Audiobook,Yes ,Latin America
PMP PMBOK Audio Study Guide!: Complete Review of Project Management Professional: Best Test Prep to Help Pass the Exam & Get Your Certification!,Ralph Cybulski,English,Biography ,3.0,Not mature,Psychology Press,1989,160,Audiobook,Yes ,Latin America
My Life: An Illustrated Autobiography,A. P. J. Abdul Kalam,Varios,Biography ,4.5,Not mature,Penguin,1989,654,Audiobook,Yes ,Asia
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Brian Greene,Varios,History,3.0,Not mature,Penguin,1909,351,Audiobook,No,Latin America
Data Science for Business 2019 (2 Books in 1): Master Data Analytics & Machine Learning with Optimized Marketing Strategies,Riley Adams,Varios,Biography & Autobiography,5.0,Not mature,Oxford University,2015,158,Audiobook,Yes ,Central America
"Diary of a Wimpy Kid: Diary of a Wimpy Kid, Book 1",Jeff Kinney,Árabe,Psychology,2.0,Not mature,IGI Global,1995,500,Audiobook,No,Europe
Open: The Autobiography,Andre Agassi,Español,English literature,3.0,Not mature,Oxford University,1991,694,Audiobook,Yes ,Central America
Pralay: The Great Deluge,Vineet Bajpai,Español,Science,1.0,Not mature,Oxford University,2016,874,Audiobook,Yes ,North America
"AI Superpowers: China, Silicon Valley, and the New World Order",Kai-Fu Lee,Español,Dentistry,1.0,Not mature,Oxford University,1995,336,Audiobook,Yes ,Latin America
Mark Twain - The Complete Novels,Mark Twain,Varios,Geology,3.5,Not mature,Penguin,1997,304,Audiobook,Yes ,Europe
Kautilya Arthshastra (Hindi Edition),Chanakya,Varios,English literature,3.0,Not mature,Penguin,1931,133,Audiobook,No,Europe
Samvad Ka Jadoo [Am I Making Myself Clear?],Terry Felber,Varios,Mathematical ,3.5,Not mature,Penguin,2016,303,Audiobook,Yes ,Europe
"Manifesting: The Secret Self Help Guide for Using Law of Attraction and Attract Money, Happiness and Success Using Manifestation",Rhonda Hicks,Español,Business & Economics,4.0,Not mature,Oxford University,1998,451,Audiobook,Yes ,Central America
The Practicing Mind: Developing Focus and Discipline in Your Life,Thomas M. Sterner,English,Computers,3.5,Not mature,Oxford University,1986,425,Audiobook,Yes ,North America
Made to Stick: Why Some Ideas Survive and Others Die,Charles Kahlenberg,English,Business & Economics,2.0,Not mature,Penguin,1996,288,Audiobook,Yes ,Latin America
Outgrowing God: A Beginner’s Guide,Richard Dawkins,English,Biography,3.5,Not mature,Penguin,1991,528,Audiobook,Yes ,Europe
The Lottery Ticket,Anton Chekhov,Varios,Mineral industries,4.0,Not mature,Penguin,2012,447,Audiobook,No,Europe
Go Pro - 7 Steps to Becoming a Network Marketing Professional,Eric Worre,Varios,Business & Economics,3.5,Not mature,Oxford University,1915,481,Audiobook,Yes ,Europe
The Rosie Project,Graeme Simsion,Varios,Students,3.5,Not mature,IGI Global,1968,310,Audiobook,Yes ,Europe
The Graveyard Book,Neil Gaiman,Árabe,Technologists,3.5,Not mature,Oxford University,2019,224,Audiobook,No ,Europe
The Outsiders: Eight Unconventional CEOs and Their Radically Rational Blueprint for Success,William N. Thorndike,Español,Technologists,4.0,Not mature,Oxford University,1961,139,Audiobook,Yes,Europe
What I Know for Sure,Oprah Winfrey,Español,Architecture,2.0,Not mature,Oxford University,2006,139,Audiobook,No,Europe
The Law of Attraction: The Basics of the Teachings of Abraham,Esther Hicks,Español,History,3.5,Not mature,Penguin,2010,2296,Audiobook,No,Europe
"The Education of a Value Investor: My Transformative Quest for Wealth, Wisdom and Enlightenment",Guy Spier,English,Geology,4.0,Not mature,Penguin,2011,45,Audiobook,Yes ,Europe
"Savarkar: Echoes of a Forgotton Past, Vol. 1: Part 2",Vikram Sampath,English,English literature,3.5,Not mature,Penguin,2012,476,Audiobook,Yes ,Europe
"The Meltdown: Diary of a Wimpy Kid, Book 13",Jeff Kinney,Varios,English literature,3.5,Not mature,SAGE,2006,476,Audiobook,No ,Europe
The Tattooist of Auschwitz,Heather Morris,Varios,English literature,2.0,Not mature,SAGE,2009,23,Audiobook,Yes,Europe
Elantris,Brandon Sanderson,Varios,English literature,3.5,Not mature,Cengage Learning ,2017,15,Audiobook,No,Europe
"Wake Up, Life Is Calling",Preeti Shenoy,Árabe,Juvenile Fiction,4.0,Not mature,SIAM,2011,323,Audiobook,Yes ,Europe
"Magnus Chase and the Sword of Summer: Magnus Chase and the Gods of Asgard, Book One",Rick Riordan,Español,Juvenile Fiction,3.5,Not mature,SIAM,2016,500,Audiobook,Yes ,Europe
"Medical Medium Cleanse to Heal: Healing Plans for Sufferers of Anxiety, Depression, Acne, Eczema, Lyme, Gut Problems, Brain Fog, Weight Issues, Migraines, Bloating, Vertigo, Psoriasis, Cysts, Fatigue, PCOS, Fibroids, UTI, Endometriosis & Autoimmune",Anthony William,Español,Business & Economics,3.5,Not mature,CRC Press,2006,528,Audiobook,Yes ,Europe
The Iliad & the Odyssey,Homer,Español,History,4.0,Not mature,John Wiley & Sons,2010,394,Audiobook,Yes ,Europe
The Digital Transformation Playbook: Rethink Your Business for the Digital Age,David L. Rogers,Varios,Juvenile Fiction,2.0,Not mature,John Wiley & Sons,1997,594,Audiobook,Yes ,Europe
I Am Enough: Mark Your Mirror and Change Your Life,Marisa Peer,Varios,Juvenile Fiction,3.5,Not mature,John Wiley & Sons,1995,586,Audiobook,Yes ,Europe
The Consolations of Philosophy,Alain de Botton,Varios,Technologists,4.0,Not mature,Springer,2016,2664,Audiobook,Yes ,Europe
The Top Five Regrets of the Dying: A Life Transformed by the Dearly Departing,Bronnie Ware,Español,Juvenile Fiction,3.5,Not mature,Yearling,2012,832,Audiobook,Yes ,Europe
Learn Japanese with Innovative Language's Proven Language System - Level 1: Introduction to Japanese,Innovative Language Learning,English,Juvenile Fiction,3.5,Not mature,Open Court ,2003,832,Audiobook,Yes ,Europe
"Irresistible: Why We Can't Stop Checking, Scrolling, Clicking and Watching",Adam Alter,English,Computers,5.0,Not mature,Open Court ,1988,564,Audiobook,Yes ,Central America
Harappa: Curse of the Blood River,Vineet Bajpai,English,Juvenile Fiction,3.0,Not mature,CRC Press,2010,597,Audiobook,Yes ,North America
Alchemy: The Surprising Power of Ideas That Don't Make Sense,Rory Sutherland,Varios,Juvenile Fiction,5.0,Not mature,CRC Press,2001,940,Audiobook,Yes ,Latin America
The Man Who Mistook His Wife for a Hat,Oliver Sacks,Varios,Psychology,3.0,Not mature,CRC Press,1968,584,Audiobook,No,Europe
The Hobbit (Dramatised),J. R. R. Tolkien,Varios,Medical,4.5,Not mature,CRC Press,2022,356,Audiobook,Yes ,Europe
The Challenger Sale: Taking Control of the Customer Conversation,Matthew Dixon,Árabe,Psychology,3.0,Not mature,CRC Press,1983,304,Audiobook,Yes ,Europe
Barking up the Wrong Tree: The Surprising Science Behind Why Everything You Know About Success Is (Mostly) Wrong,Eric Barker,Español,Medical,5.0,Not mature,CRC Press,1931,536,Audiobook,Yes ,Europe
Night Train at Deoli (Hindi Edition),Ruskin Bond,Español,Psychology,2.0,Not mature,Carolina Press,1995,208,Audiobook,No,Europe
Silence: The Power of Quiet in a World Full of Noise,Thich Nhat Hanh,Español,Medical,3.0,Not mature,Oxford University,2006,26,Audiobook,Yes ,Europe
Living from a Place of Surrender: The Untethered Soul in Action,Michael A. Singer,Varios,Fiction,1.0,Not mature,Münster,2017,252,Audiobook,No,Europe
"The Mark of Athena: Heroes of Olympus, Book 3",Rick Riordan,Varios,Science,1.0,Not mature,BookCaps ,1998,226,Audiobook,Yes ,Europe
Phantoms in the Brain: Probing the Mysteries of the Human Mind,V.S. Ramachandran,Varios,Juvenile Fiction,3.5,Not mature,SAGE,2015,504,Audiobook,Yes ,Europe
Love in the Time of Cholera,Gabriel García Márquez,Español,Juvenile Fiction,3.0,Not mature,SAGE,2011,200,Audiobook,Yes ,Central America
World War Z,Max Brooks,English,Computers,3.5,Not mature,SAGE,1991,736,Audiobook,Yes ,North America
My Hanuman Chalisa,Devdutt Pattnaik,English,Juvenile Fiction,4.0,Not mature,SAGE,1989,262,Audiobook,No,Latin America
Permanent Record,Edward Snowden,English,Juvenile Fiction,3.5,Not mature,SAGE,2012,528,Audiobook,Yes ,Europe
"HBR's 10 Must Reads on AI, Analytics, and the New Machine Age: HBR's 10 Must Reads Series",Harvard Business Review,Varios,Psychology,2.0,Not mature,Cengage Learning ,1983,184,Audiobook,Yes ,Europe
Percy Jackson and the Battle of the Labyrinth,Rick Riordan,Varios,Medical,3.5,Not mature,SIAM,2011,240,Audiobook,Yes ,North America
Critical Chain: Project Management and the Theory of Constraints,Eliyahu M. Goldratt,Varios,Psychology,4.0,Not mature,SIAM,2010,304,Audiobook,Yes ,Latin America
Essential Meditations with Eckhart Tolle: Guided Sessions and Practical Teachings,Eckhart Tolle,Árabe,Medical,3.5,Not mature,CRC Press,1996,175,Audiobook,Yes ,North America
"Taboo Sex Stories: Erotic Sex Stories, Collection of Adult Sex Stories and Rough Erotica Sex Stories",Mandy Harmon,Español,Psychology,3.5,Not mature,John Wiley & Sons,2009,365,Audiobook,No,Central America
Bottle of Lies: The Inside Story of the Generic Drug Boom,Katherine Eban,Español,Medical,3.5,Not mature,John Wiley & Sons,1986,586,Audiobook,Yes ,North America
Muhammad: His Life Based on the Earliest Sources,Martin Lings,Español,Fiction,4.0,Not mature,John Wiley & Sons,2009,66,Audiobook,Yes ,Europe
"Angry God: All Saints High, Book 3",L.J. Shen,Varios,Science,2.0,Not mature,Springer,2014,304,Audiobook,No ,North America
Stay Hungry Stay Foolish,Rashmi Bansal,Varios,Juvenile Fiction,3.5,Not mature,Springer,2004,448,Audiobook,Yes,Asia
Feel Better In 5: Your Daily Plan to Supercharge Your Health,Dr Rangan Chatterjee,Varios,Medical,4.0,Not mature,Springer,2016,448,Audiobook,No,North America
The Jane Austen BBC Radio Drama Collection: Six BBC Radio Full-Cast Dramatisations,Jane Austen,Español,Biography,3.5,Not mature,Springer,2016,800,Audiobook,No,Oceania
Million Dollar Habits: 12 Power Practices to Double and Triple Your Income,Brian Tracy,English,Business & Economics,3.5,Not mature,Springer,2016,384,Audiobook,Yes ,North America
Business Sutra: A Very Indian Approach to Management,Devdutt Pattanaik,English,Business & Economics,2.0,Not mature,Courier Corporation,1981,160,Audiobook,Yes ,North America
Geronimo Stilton #25: The Search for Sunken Treasure & #26: The Mummy with No Name,Geronimo Stilton,English,Biography,3.5,Not mature,Courier Corporation,1991,400,Audiobook,No ,Asia
The Accidental Prime Minister: The Making and Unmaking of Manmohan Singh,Sanjaya Baru,Varios,Mineral industries,4.0,Not mature,Courier Corporation,1915,426,Audiobook,Yes,North America
Sense and Sensibility,Jane Austen,Varios,Business & Economics,3.5,Not mature,Penguin,2010,316,Audiobook,No,Oceania
Black Friday: The True Story of the Bombay Bomb Blasts,Hussain Zaidi,Varios,Students,3.5,Not mature,Penguin,1997,163,Audiobook,Yes,Oceania
"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker,Árabe,Technologists,4.0,Not mature,Aspen Publishers ,1909,530,Audiobook,No,Latin America
Still Me,Jojo Moyes,Español,Technologists,2.0,Not mature,DIA Publishing,2011,2416,Audiobook,Yes,Latin America
Competing in the Age of AI: Strategy and Leadership When Algorithms and Networks Run the World,Marco Iansiti,Español,Architecture,3.5,Not mature,Wolters Kluwer ,2021,188,Audiobook,No,Latin America
The Second Sex,Simone de Beauvoir,Español,History,4.0,Not mature,Penguin,2006,1746,Audiobook,Yes,Central America
Naraz [Angry],Rahat Indori,English,Geology,3.5,Not mature,Penguin,1989,207,Audiobook,Yes,North America
Designing Destiny: The Heartfulness Way,Kamlesh Patel,English,English literature,3.5,Not mature,Academic Press,1865,328,Audiobook,Yes,Latin America
Goals! How to Get Everything You Want Faster Than You Ever Thought Possible,Brian Tracy,Varios,English literature,5.0,Not mature,Cambridge University ,2006,645,Audiobook,No,North America
The Art of Living: Vipassana Meditation as Taught by S. N. Goenka,William Hart,Varios,English literature,3.0,Not mature,Penguin,2011,546,Audiobook,Yes,North America
Livewired: The Inside Story of the Ever-Changing Brain,David Eagleman,Varios,English literature,5.0,Not mature,Penguin,1989,46,Audiobook,No,Latin America
Looking for Alaska,John Green,Árabe,Juvenile Fiction,3.0,Not mature,Routledge,2016,704,Audiobook,Yes,Asia
"Technical Analysis for Dummies, 3rd Edition",Barbara Rockefeller,Español,Juvenile Fiction,4.5,Not mature,Holt Paperbacks,1980,96,Audiobook,Yes,Latin America
Everyday Ayurveda: Daily Habits That Can Change Your Life in a Day,Bhaswati Bhattacharya,Español,Business & Economics,3.0,Not mature,Oxford University,1961,865,Audiobook,Yes,North America
Peppa Pig: On the Road with Peppa,John Sparkes,Español,History,5.0,Not mature,Penguin,2016,66,Audiobook,No,Latin America
"Fanatical Prospecting: The Ultimate Guide for Starting Sales Conversations and Filling the Pipeline by Leveraging Social Selling, Telephone, E-Mail, and Cold Calling",Jeb Blount,Varios,Juvenile Fiction,2.0,Not mature,Penguin,2016,240,Audiobook,Yes,Latin America
Amazon’s Free HQ Tour,The Amazon HQ Tours Team,Varios,Juvenile Fiction,3.0,Not mature,Penguin,2015,176,Audiobook,No,Latin America
"The Saint, the Surfer and the CEO",Robin Sharma,Varios,Technologists,1.0,Not mature,Penguin,2019,320,Audiobook,Yes,Asia
Learn English: Ultimate Guide to Speaking Business English,Innovative Language Learning LLC,Español,Juvenile Fiction,1.0,Not mature,Penguin,2016,304,Audiobook,Yes,Latin America
"The Feynman Lectures on Physics: Volume 1, Quantum Mechanics",Richard P. Feynman,English,Juvenile Fiction,3.5,Not mature,Penguin,1998,320,Audiobook,Yes ,Latin America
The Law Book: Big Ideas Simply Explained,DK,English,Computers,3.0,Not mature,Harper Collins,2007,22,Audiobook,Yes ,Asia
Canada Is Awesome: A Little Book About a Big Country,Neil Pasricha,English,Juvenile Fiction,3.5,Not mature,Penguin,2012,11,Audiobook,Yes ,Latin America
Behave,Robert M Sapolsky,Varios,Juvenile Fiction,4.0,Not mature,Penguin,2010,383,Audiobook,Yes ,Latin America
Effective Communication Skills,Dalton Kehoe,Varios,Psychology,3.5,Not mature,Hachette UK,2012,275,Audiobook,Yes ,Asia
Zen and the Art of Motorcycle Maintenance (Dramatised),Robert M. Pirsig,Varios,Medical,2.0,Not mature,Penguin,2010,103,Audiobook,Yes ,Latin America
7 Secrets of Vishnu: The Hindu Trinity Series,Devdutt Pattanaik,Árabe,Psychology,3.5,Not mature,Scarecrow Press,1980,436,Audiobook,Yes ,Latin America
Chanakya In the Classroom: Life Lessons for Students,Radhakrishnan Pillai,Español,Medical,4.0,Not mature,Ballantine Books,2002,337,Audiobook,Yes ,Asia
100 Baggers: Stocks That Return 100-to-1 and How to Find Them,Christopher W. Mayer,Español,Psychology,3.5,Not mature,Greenwood P},2009,313,Audiobook,Yes ,Latin America
Charlie and the Great Glass Elevator,Roald Dahl,Español,Medical,3.5,Not mature,Routledge,1987,45,Audiobook,Yes ,Central America
Jane Eyre,Charlotte Bronte,Varios,Fiction,3.5,Not mature,Henry Holt ,1987,286,Audiobook,Yes ,Europe
The Rozabal Line,Ashwin Sanghi,Varios,Science,4.0,Not mature,Author House,1987,271,Audiobook,Yes ,Central America
"How I Made $2,000,000 in the Stock Market",Nicolas Darvas,Varios,Juvenile Fiction,2.0,Not mature,Penguin,1988,353,Audiobook,No,North America
The Complete Stories of Sherlock Holmes,Arthur Conan Doyle,Español,Juvenile Fiction,3.5,Not mature,Penguin,1988,304,Audiobook,Yes ,Latin America
Alokik Shakti Ke Chamatkar [Psychic Perception:The Magic of Extrasensory Power],Dr Joseph Murphy,English,Computers,4.0,Not mature,Oxford University,1987,80,Audiobook,Yes ,Europe
Gone with the Wind,Margaret Mitchell,English,Juvenile Fiction,3.5,Not mature,Salem Pr Inc,1992,227,Audiobook,Yes ,Europe
The 21 Day Happiness Challenge - Learn How to Love Your Life and Become a Happier Person in Just 21 Days,21-Day Challenges,English,Juvenile Fiction,3.5,Not mature,BookCaps ,1989,564,Audiobook,No,Europe
Rarang Dhang: Marathi Audiobook,Prabhakar Pendharkar,Varios,Psychology,2.0,Not mature,Penguin,2000,985,Audiobook,Yes ,Central America
Something I Never Told You,Shravya Bhinder,Varios,Medical,3.5,Not mature,Penguin,1992,356,Audiobook,No,North America
"The Mahabharata, Volume 1",Bibek Debroy - translator,Varios,Psychology,4.0,Not mature,Penguin,2012,425,Audiobook,Yes ,Latin America
Turtles All the Way Down,John Green,Árabe,Medical,3.5,Not mature,Penguin,1898,745,Audiobook,Yes ,Europe
Screenwriting 101: Mastering the Art of Story,Angus Fletcher,Español,Psychology,3.5,Not mature,Penguin,2013,658,Audiobook,Yes ,Europe
The Art of Learning: An Inner Journey to Optimal Performance,Josh Waitzkin,Español,Medical,4.0,Not mature,Penguin,2014,115,Audiobook,Yes ,Europe
Reminiscences of a Stock Operator (Wiley Trading Audio),Edwin Lefevre,Español,Fiction,2.0,Not mature,Penguin,1981,128,Audiobook,No,Europe
The Happiness Hypothesis,Jonathan Haidt,Varios,Science,3.5,Not mature,Penguin,1913,203,Audiobook,Yes ,Europe
The Man-Eating Leopard of Rudraprayag,Jim Corbett,Varios,Juvenile Fiction,4.0,Not mature,Yearling,1989,315,Audiobook,Yes ,Europe
101 Panchatantra Stories,Om Books International,Varios,Medical,3.5,Not mature,Yearling,1974,288,Audiobook,Yes ,Europe
Competitive Strategy: Techniques for Analyzing Industries and Competitors,Michael E. Porter,Español,Biography,3.5,Not mature,Penguin,2008,240,Audiobook,Yes ,Europe
HBR Guide to Office Politics,Harvard Business Review,English,Business & Economics,5.0,Not mature,Penguin,2008,400,Audiobook,Yes ,Europe
I Have No Secrets: Love in Times of Tinder,Shanaya Taneja,English,Business & Economics,3.0,Not mature,Psychology Press,2002,296,Audiobook,No,Europe
Learn Spanish with Innovative Language's Proven Language System - Level 2: Absolute Beginner Spanish: Absolute Beginner Spanish #51,Innovative Language Learning,English,Juvenile Fiction,5.0,Not mature,Penguin,1967,219,Audiobook,Yes ,Europe
Stories at Work,Indranil Chakraborty,Varios,Medical,3.0,Not mature,Penguin,2006,704,Audiobook,Yes ,Europe
365 Stories from Around the World,Om Books International,Varios,Biography,4.5,Not mature,Oxford University,2011,362,Audiobook,No ,Europe
Sawal Hi Jawab Hai,Allan Pease,Varios,Business & Economics,3.0,Not mature,IGI Global,1955,400,Audiobook,Yes,Europe
"Live, Love and Laugh",Manjeet Sargam Chawla,Árabe,Juvenile Fiction,5.0,Not mature,Oxford University,1955,374,Audiobook,No,Europe
The Murder of Roger Ackroyd,Hugh Fraser,Español,Juvenile Fiction,2.0,Not mature,Oxford University,2014,406,Audiobook,No,Europe
I Know Why the Caged Bird Sings: A BBC Radio 4 Dramatisation,Maya Angelou,Español,Computers,3.0,Not mature,Oxford University,2012,356,Audiobook,Yes ,Europe
Trading Beyond the Matrix: The Red Pill for Traders and Investors,Van Tharp,Español,Business & Economics,1.0,Not mature,Penguin,1898,623,Audiobook,Yes ,Europe
Behavioral Economics: When Psychology and Economics Collide,Scott Huettel,English,Computers,1.0,Not mature,Penguin,1951,687,Audiobook,No ,Europe
Secrets of Health from the Indian Kitchen,Ratna Rajaiah,English,Biography ,3.5,Not mature,Penguin,1868,745,Audiobook,Yes,Europe
How to Trade in Stocks,Jesse Livermore,Varios,Biography ,3.0,Not mature,Bloomsbury Publishing,1974,365,Audiobook,No,Europe
The Republic,Plato,Varios,History,3.5,Not mature,Terrace Books,1884,254,Audiobook,Yes ,Europe
"Zero Limits: The Secret Hawaiian System for Wealth, Health, Peace, and More",Joe Vitale,Varios,Biography & Autobiography,4.0,Not mature,Yearling,2016,256,Audiobook,Yes ,Central America
Summary of Principles: Life and Work: By Ray Dalio,In a Nutshell Publishings,Árabe,Psychology,3.5,Not mature,Open Court ,2010,354,Audiobook,Yes ,North America
Shane Warne: Audible Sessions: FREE Exclusive Interview,Robin Morgan-Bentley,Español,English literature,2.0,Not mature,Open Court ,2018,644,Audiobook,Yes ,Latin America
The Magic of Believing: Original Classic Version,Claude M. Bristol,Español,Science,3.5,Not mature,CRC Press,2010,271,Audiobook,Yes ,Europe
The Buddha Said: Meeting the Challenge of Life's Difficulties,OSHO,Español,Dentistry,4.0,Not mature,CRC Press,2016,32,Audiobook,Yes ,Europe
YouTube Secrets: The Ultimate Guide to Growing Your Following and Making Money as a Video Influencer,Sean Cannell,Varios,Geology,3.5,Not mature,CRC Press,2019,156,Audiobook,Yes ,Europe
The Magic Weight-Loss Pill,Luke Coutinho,Varios,English literature,3.5,Not mature,CRC Press,1985,307,Audiobook,Yes ,Europe
The Stranger,Albert Camus,Varios,Mathematical ,3.5,Not mature,CRC Press,1993,350,Audiobook,Yes ,Europe
"Muscular India: Masculinity, Mobility & the New Middle Class",Michiel Baas,Español,Business & Economics,4.0,Not mature,CRC Press,1890,657,Audiobook,Yes ,Europe
Peppa Pig: Peppa Goes Swimming and Other Audio Stories,Ladybird,English,Computers,2.0,Not mature,Carolina Press,2011,780,Audiobook,Yes ,Europe
Learn English with Innovative Language's Proven Language System - Level 5: Advanced English,Innovative Language Learning,English,Business & Economics,3.5,Not mature,Oxford University,2002,874,Audiobook,Yes ,Europe
The Undoing Project: A Friendship That Changed the World,Michael Lewis,English,Biography,4.0,Not mature,Münster,2004,272,Audiobook,No,Europe
Creativity Inc.,Ed Catmull,Varios,Mineral industries,3.5,Not mature,BookCaps ,2003,245,Audiobook,Yes ,Central America
